QTD_ITENS;200
CAPACIDADE;356
ITEM;PESO;VALOR
0;26;344
1;25;337
2;53;842
3;43;618
4;26;432
5;40;564
6;28;419
7;46;773
8;25;314
9;34;618
10;22;312
11;49;639
12;54;909
13;45;573
14;51;849
15;46;656
16;56;829
17;58;892
18;39;652
19;31;555
20;22;270
21;28;318
22;22;251
23;55;785
24;33;577
25;49;654
26;56;1051
27;34;554
28;23;271
29;54;821
30;56;848
31;53;969
32;57;1011
33;28;445
34;42;505
35;49;627
36;28;510
37;49;833
38;56;823
39;51;597
40;31;363
41;43;836
42;59;631
43;49;842
44;32;488
45;45;494
46;25;414
47;44;616
48;52;854
49;39;708
50;37;402
51;52;1037
52;60;1188
53;25;265
54;56;765
55;46;514
56;55;776
57;42;602
58;20;348
59;27;362
60;42;501
61;53;776
62;22;347
63;42;814
64;47;559
65;27;411
66;27;383
67;31;536
68;31;405
69;41;752
70;46;908
71;33;539
72;30;442
73;58;612
74;51;721
75;31;429
76;49;596
77;36;544
78;26;516
79;24;450
80;36;418
81;25;290
82;47;787
83;49;865
84;25;259
85;53;555
86;35;456
87;42;581
88;60;1059
89;52;953
90;52;600
91;42;476
92;40;638
93;37;504
94;55;983
95;22;312
96;34;659
97;22;263
98;45;524
99;47;901
100;33;466
101;37;739
102;20;221
103;45;882
104;56;773
105;33;495
106;31;510
107;29;468
108;50;711
109;54;1040
110;55;733
111;56;668
112;33;553
113;48;846
114;43;735
115;49;663
116;52;768
117;23;348
118;39;433
119;43;817
120;34;396
121;25;257
122;40;480
123;50;682
124;52;681
125;49;831
126;47;924
127;46;878
128;43;532
129;30;480
130;40;578
131;52;1033
132;53;901
133;29;482
134;36;372
135;48;740
136;30;377
137;40;495
138;47;740
139;34;522
140;36;543
141;31;386
142;28;458
143;23;350
144;44;590
145;27;326
146;52;663
147;38;751
148;29;541
149;22;317
150;56;671
151;48;680
152;52;862
153;52;570
154;54;668
155;24;369
156;33;598
157;52;632
158;34;518
159;38;598
160;21;222
161;51;713
162;46;554
163;46;563
164;52;619
165;56;820
166;20;322
167;38;428
168;28;452
169;21;251
170;21;323
171;29;427
172;48;918
173;43;628
174;34;538
175;37;386
176;42;698
177;35;519
178;31;320
179;22;404
180;54;639
181;30;526
182;55;922
183;59;713
184;45;824
185;22;346
186;25;405
187;47;737
188;48;875
189;32;339
190;43;603
191;25;267
192;35;657
193;56;562
194;32;593
195;52;686
196;53;629
197;42;766
198;56;646
199;35;419
