QTD_ITENS;200
CAPACIDADE;483
ITEM;PESO;VALOR
0;59;925
1;29;402
2;28;290
3;53;751
4;38;679
5;52;937
6;29;504
7;23;403
8;42;674
9;43;760
10;45;883
11;55;757
12;31;327
13;29;415
14;53;887
15;60;842
16;44;447
17;49;519
18;50;741
19;47;802
20;57;650
21;27;391
22;55;837
23;39;740
24;58;613
25;40;798
26;57;623
27;55;820
28;36;645
29;38;645
30;49;864
31;42;475
32;34;350
33;59;779
34;56;1045
35;32;497
36;26;289
37;38;591
38;28;490
39;20;354
40;46;904
41;34;580
42;27;416
43;59;737
44;41;413
45;52;546
46;42;569
47;46;481
48;49;638
49;45;627
50;54;1011
51;48;601
52;44;710
53;48;527
54;21;410
55;47;580
56;22;315
57;20;380
58;54;884
59;21;224
60;51;837
61;43;574
62;47;817
63;47;689
64;49;504
65;59;1110
66;38;743
67;50;917
68;48;715
69;27;388
70;48;784
71;41;640
72;47;742
73;36;672
74;27;387
75;59;892
76;23;260
77;56;856
78;28;538
79;49;884
80;20;246
81;25;268
82;35;638
83;26;452
84;54;985
85;30;349
86;34;583
87;53;937
88;51;774
89;52;578
90;43;651
91;39;710
92;28;513
93;45;567
94;51;946
95;54;1044
96;58;1004
97;24;261
98;48;917
99;46;860
100;49;729
101;47;657
102;33;603
103;33;369
104;55;611
105;34;635
106;50;877
107;36;666
108;57;1099
109;59;742
110;36;382
111;59;1131
112;40;577
113;39;639
114;24;416
115;33;654
116;42;544
117;31;424
118;50;898
119;27;388
120;34;497
121;34;637
122;36;441
123;27;343
124;57;575
125;53;740
126;59;920
127;30;353
128;60;832
129;59;712
130;54;683
131;42;657
132;48;531
133;47;583
134;47;497
135;41;656
136;43;708
137;34;549
138;46;721
139;41;669
140;43;833
141;37;588
142;26;470
143;40;529
144;28;464
145;54;704
146;34;412
147;52;834
148;56;670
149;53;899
150;59;880
151;24;328
152;54;546
153;55;891
154;40;737
155;41;459
156;40;403
157;34;507
158;41;616
159;47;637
160;56;1101
161;60;701
162;47;865
163;27;350
164;60;1097
165;29;368
166;43;618
167;59;773
168;21;343
169;44;494
170;50;971
171;52;939
172;27;278
173;54;647
174;42;440
175;51;923
176;36;654
177;56;1042
178;24;389
179;25;437
180;41;487
181;58;821
182;52;1010
183;59;896
184;23;355
185;46;615
186;37;664
187;50;637
188;35;396
189;39;401
190;41;690
191;22;411
192;54;981
193;49;582
194;55;802
195;27;493
196;41;587
197;45;853
198;25;372
199;46;536
