QTD_ITENS;200
CAPACIDADE;409
ITEM;PESO;VALOR
0;42;759
1;26;454
2;60;773
3;27;273
4;57;643
5;50;634
6;44;467
7;42;482
8;29;526
9;34;567
10;21;297
11;44;879
12;39;540
13;53;769
14;22;254
15;44;572
16;48;759
17;41;415
18;25;327
19;33;375
20;49;831
21;48;744
22;21;224
23;53;616
24;52;526
25;33;515
26;40;581
27;56;905
28;30;451
29;45;853
30;30;455
31;60;735
32;34;504
33;48;559
34;24;246
35;46;760
36;55;762
37;48;754
38;37;484
39;25;299
40;22;364
41;32;423
42;45;504
43;52;607
44;23;336
45;34;678
46;30;502
47;33;647
48;44;795
49;30;429
50;54;1017
51;56;1047
52;45;845
53;27;367
54;52;682
55;38;528
56;56;1002
57;20;266
58;51;982
59;43;855
60;39;612
61;49;539
62;32;580
63;58;1140
64;60;785
65;20;229
66;48;936
67;26;373
68;44;731
69;30;377
70;56;828
71;50;967
72;57;740
73;49;954
74;25;343
75;27;460
76;34;452
77;22;399
78;45;473
79;59;1093
80;21;313
81;57;586
82;23;346
83;30;538
84;28;409
85;47;716
86;59;787
87;57;785
88;39;390
89;40;643
90;54;544
91;52;769
92;28;546
93;28;435
94;60;780
95;43;538
96;29;379
97;45;690
98;41;512
99;59;958
100;40;597
101;52;804
102;44;476
103;53;635
104;27;434
105;40;613
106;57;674
107;23;281
108;43;589
109;48;782
110;43;459
111;31;451
112;25;343
113;46;705
114;31;319
115;27;442
116;45;620
117;21;268
118;38;446
119;24;314
120;42;763
121;44;459
122;42;422
123;44;647
124;29;419
125;55;1063
126;22;232
127;31;318
128;20;309
129;24;404
130;52;643
131;31;334
132;45;779
133;24;374
134;40;649
135;24;466
136;27;483
137;49;845
138;48;540
139;23;297
140;47;554
141;32;532
142;22;296
143;42;621
144;27;433
145;49;803
146;29;570
147;22;351
148;26;363
149;56;942
150;24;330
151;32;414
152;55;617
153;57;763
154;33;547
155;35;587
156;23;434
157;25;479
158;47;569
159;60;1144
160;25;392
161;46;543
162;59;962
163;49;642
164;31;386
165;54;1035
166;59;598
167;59;755
168;58;671
169;22;254
170;56;1046
171;59;660
172;57;630
173;37;449
174;56;564
175;37;703
176;36;585
177;47;583
178;48;670
179;39;682
180;36;592
181;24;305
182;39;674
183;52;627
184;52;527
185;35;353
186;42;785
187;26;290
188;36;611
189;60;951
190;32;326
191;59;1160
192;47;689
193;45;670
194;38;626
195;25;422
196;28;373
197;57;692
198;48;741
199;31;357
