QTD_ITENS;100
CAPACIDADE;394
ITEM;PESO;VALOR
0;31;528
1;55;694
2;46;460
3;33;544
4;31;447
5;38;510
6;34;441
7;57;988
8;32;568
9;36;480
10;21;378
11;48;555
12;49;721
13;47;917
14;43;543
15;58;1144
16;24;394
17;21;404
18;29;351
19;51;704
20;32;636
21;22;430
22;58;858
23;37;553
24;60;1165
25;47;627
26;38;381
27;41;745
28;46;755
29;27;316
30;25;389
31;20;240
32;29;575
33;28;395
34;41;552
35;25;307
36;54;676
37;26;397
38;20;385
39;45;830
40;58;754
41;57;648
42;56;727
43;53;681
44;33;499
45;52;582
46;30;540
47;51;797
48;29;351
49;43;528
50;24;353
51;55;1090
52;39;509
53;55;701
54;58;991
55;44;856
56;52;579
57;30;540
58;52;713
59;48;746
60;60;1106
61;33;586
62;55;1010
63;25;417
64;26;336
65;43;818
66;55;1095
67;46;468
68;33;486
69;26;492
70;52;919
71;54;656
72;20;292
73;32;352
74;25;294
75;38;716
76;33;629
77;40;747
78;20;365
79;45;703
80;57;956
81;51;888
82;55;706
83;37;726
84;43;664
85;40;502
86;32;331
87;47;561
88;32;410
89;48;652
90;33;480
91;58;848
92;60;802
93;56;1007
94;47;889
95;58;743
96;53;1018
97;22;238
98;21;418
99;53;576
