QTD_ITENS;150
CAPACIDADE;407
ITEM;PESO;VALOR
0;26;353
1;29;538
2;29;535
3;47;800
4;50;539
5;23;335
6;56;1097
7;38;637
8;34;639
9;55;608
10;48;509
11;35;479
12;22;223
13;45;695
14;58;779
15;26;373
16;50;638
17;60;818
18;48;615
19;42;450
20;38;481
21;41;727
22;26;398
23;40;473
24;27;447
25;37;588
26;49;687
27;29;328
28;32;531
29;50;558
30;28;559
31;29;308
32;25;385
33;34;458
34;57;962
35;51;853
36;58;851
37;47;633
38;56;984
39;41;743
40;22;222
41;32;408
42;32;356
43;34;356
44;55;770
45;60;1132
46;55;947
47;56;1112
48;28;467
49;45;877
50;41;731
51;27;505
52;36;615
53;56;786
54;27;313
55;43;452
56;23;422
57;46;477
58;34;373
59;24;288
60;47;553
61;55;720
62;45;599
63;58;623
64;24;321
65;53;673
66;29;364
67;32;580
68;55;808
69;20;373
70;41;471
71;23;359
72;44;679
73;48;782
74;47;935
75;58;993
76;56;874
77;43;450
78;59;631
79;41;737
80;36;366
81;27;393
82;44;675
83;39;584
84;37;579
85;23;318
86;38;733
87;45;789
88;30;553
89;58;1109
90;40;567
91;37;481
92;35;524
93;21;287
94;21;293
95;39;689
96;24;450
97;30;498
98;39;667
99;36;429
100;30;334
101;41;585
102;24;376
103;60;983
104;59;712
105;55;633
106;26;266
107;47;707
108;33;342
109;31;428
110;57;955
111;37;411
112;44;535
113;47;782
114;43;440
115;39;582
116;60;802
117;57;1091
118;47;628
119;58;739
120;22;316
121;23;452
122;53;967
123;39;515
124;46;590
125;60;888
126;27;467
127;38;624
128;34;546
129;33;501
130;28;346
131;58;1100
132;21;391
133;47;785
134;54;649
135;49;615
136;33;653
137;58;815
138;36;666
139;28;347
140;46;789
141;30;385
142;52;585
143;53;710
144;52;771
145;46;547
146;31;594
147;54;846
148;59;768
149;38;419
