QTD_ITENS;50
CAPACIDADE;586
ITEM;PESO;VALOR
0;21;317
1;25;381
2;42;649
3;52;991
4;32;575
5;28;381
6;35;506
7;47;654
8;29;290
9;22;244
10;22;355
11;58;595
12;40;740
13;44;811
14;53;707
15;40;605
16;59;946
17;32;331
18;57;1138
19;32;591
20;23;299
21;50;661
22;23;432
23;25;442
24;24;367
25;37;370
26;51;677
27;60;1009
28;28;445
29;28;318
30;23;310
31;32;368
32;51;858
33;23;394
34;53;930
35;20;202
36;59;804
37;28;438
38;50;773
39;20;371
40;45;768
41;34;395
42;58;1123
43;55;642
44;42;751
45;55;609
46;45;695
47;38;466
48;38;683
49;57;1056
