QTD_ITENS;100
CAPACIDADE;353
ITEM;PESO;VALOR
0;38;715
1;35;403
2;47;842
3;56;889
4;25;280
5;31;608
6;50;572
7;24;283
8;24;254
9;48;880
10;41;742
11;28;400
12;42;667
13;41;635
14;54;650
15;55;835
16;47;802
17;33;499
18;26;486
19;41;635
20;36;455
21;42;620
22;38;688
23;42;672
24;37;374
25;51;603
26;22;231
27;41;541
28;34;353
29;29;467
30;43;565
31;55;1006
32;57;742
33;43;789
34;42;666
35;54;900
36;29;568
37;35;631
38;27;318
39;25;442
40;32;525
41;42;450
42;43;845
43;28;553
44;52;675
45;31;580
46;30;400
47;53;648
48;21;368
49;47;524
50;54;1077
51;51;535
52;42;688
53;43;851
54;20;247
55;33;495
56;36;417
57;36;412
58;34;398
59;39;411
60;37;561
61;53;622
62;36;404
63;52;761
64;21;289
65;54;902
66;42;776
67;38;524
68;25;415
69;37;580
70;46;809
71;29;325
72;54;873
73;36;369
74;20;232
75;38;470
76;54;565
77;52;718
78;45;507
79;50;888
80;27;317
81;47;921
82;59;1156
83;45;494
84;28;538
85;23;449
86;47;875
87;21;372
88;46;896
89;23;333
90;60;759
91;35;374
92;35;374
93;52;569
94;47;838
95;28;318
96;27;500
97;56;633
98;25;276
99;60;908
