QTD_ITENS;150
CAPACIDADE;557
ITEM;PESO;VALOR
0;40;745
1;45;489
2;40;753
3;44;623
4;31;416
5;44;513
6;43;532
7;48;868
8;48;722
9;39;547
10;33;377
11;36;615
12;41;470
13;55;715
14;26;345
15;30;352
16;52;809
17;38;729
18;52;958
19;21;234
20;30;550
21;20;207
22;48;760
23;41;651
24;32;607
25;31;486
26;40;404
27;38;731
28;23;369
29;47;887
30;37;405
31;53;801
32;32;478
33;20;368
34;22;239
35;24;336
36;28;356
37;38;616
38;41;653
39;41;594
40;32;320
41;41;627
42;30;394
43;26;380
44;53;823
45;36;563
46;46;592
47;37;641
48;36;717
49;45;523
50;54;1060
51;41;470
52;48;550
53;25;437
54;30;406
55;32;460
56;28;550
57;22;336
58;36;558
59;20;315
60;46;763
61;57;623
62;41;556
63;56;922
64;57;622
65;44;801
66;33;487
67;46;908
68;55;751
69;53;572
70;39;627
71;51;937
72;37;437
73;25;277
74;28;509
75;34;457
76;57;819
77;29;535
78;44;607
79;30;527
80;25;276
81;31;358
82;55;789
83;53;786
84;41;605
85;59;1112
86;46;474
87;33;506
88;22;376
89;54;1018
90;48;725
91;43;830
92;37;374
93;35;608
94;57;883
95;60;997
96;36;364
97;35;406
98;38;664
99;39;732
100;33;600
101;36;707
102;45;585
103;59;1024
104;41;538
105;31;435
106;42;655
107;58;1139
108;31;573
109;40;767
110;41;509
111;56;1037
112;46;504
113;40;668
114;58;655
115;21;260
116;24;367
117;56;883
118;33;339
119;40;658
120;39;487
121;24;285
122;45;854
123;26;368
124;40;413
125;22;372
126;55;1096
127;59;1135
128;43;448
129;59;687
130;43;543
131;32;372
132;37;617
133;44;737
134;49;843
135;52;870
136;29;414
137;53;693
138;27;403
139;41;811
140;57;591
141;34;414
142;60;1050
143;44;686
144;49;756
145;22;255
146;60;869
147;54;1052
148;43;580
149;34;574
