QTD_ITENS;50
CAPACIDADE;476
ITEM;PESO;VALOR
0;59;975
1;30;355
2;35;600
3;39;539
4;59;1149
5;36;490
6;60;835
7;40;577
8;30;390
9;59;734
10;23;270
11;55;1003
12;54;791
13;55;745
14;30;473
15;29;360
16;29;358
17;49;547
18;58;959
19;23;264
20;24;267
21;28;404
22;51;621
23;33;499
24;20;286
25;46;484
26;29;529
27;47;700
28;26;459
29;40;581
30;52;617
31;49;799
32;37;403
33;48;897
34;57;798
35;38;665
36;35;373
37;35;589
38;54;638
39;21;355
40;50;904
41;51;900
42;46;834
43;46;589
44;22;265
45;31;535
46;45;555
47;59;711
48;42;705
49;59;632
