QTD_ITENS;200
CAPACIDADE;323
ITEM;PESO;VALOR
0;28;457
1;58;1009
2;44;662
3;22;270
4;59;853
5;27;442
6;38;757
7;25;299
8;47;500
9;46;810
10;26;460
11;33;545
12;20;388
13;37;523
14;44;560
15;28;364
16;37;486
17;60;1120
18;57;759
19;26;344
20;22;309
21;42;429
22;57;869
23;57;594
24;22;411
25;45;545
26;21;397
27;58;1110
28;59;1147
29;59;1166
30;52;531
31;51;622
32;32;515
33;38;579
34;22;384
35;58;1032
36;34;432
37;24;241
38;47;900
39;51;929
40;41;730
41;50;993
42;45;745
43;42;661
44;25;314
45;50;767
46;29;555
47;48;822
48;29;378
49;39;657
50;35;378
51;26;364
52;34;464
53;23;277
54;32;498
55;50;829
56;38;520
57;47;926
58;40;588
59;55;768
60;25;310
61;57;821
62;25;481
63;29;424
64;60;893
65;58;992
66;27;486
67;29;525
68;59;1026
69;35;645
70;59;665
71;25;356
72;33;394
73;21;254
74;20;327
75;35;677
76;44;874
77;53;969
78;39;760
79;34;404
80;25;416
81;23;344
82;50;891
83;56;672
84;60;898
85;22;238
86;30;458
87;24;327
88;21;244
89;44;562
90;43;826
91;38;624
92;27;295
93;40;728
94;32;375
95;25;325
96;47;645
97;44;521
98;36;476
99;41;692
100;30;415
101;60;935
102;49;517
103;42;727
104;38;716
105;25;411
106;23;355
107;40;712
108;45;688
109;39;467
110;49;670
111;47;669
112;53;676
113;46;550
114;30;400
115;34;553
116;46;652
117;58;867
118;22;276
119;31;610
120;48;678
121;60;1193
122;41;440
123;45;688
124;38;477
125;50;942
126;32;474
127;21;324
128;33;479
129;57;655
130;32;565
131;23;265
132;60;1194
133;36;560
134;32;447
135;23;344
136;48;821
137;36;583
138;53;644
139;56;875
140;38;733
141;35;486
142;28;308
143;47;713
144;40;601
145;59;709
146;47;918
147;43;755
148;59;978
149;46;834
150;24;466
151;52;639
152;22;238
153;41;694
154;51;871
155;37;529
156;50;678
157;27;431
158;24;314
159;24;443
160;50;595
161;47;916
162;50;535
163;43;829
164;31;577
165;52;596
166;49;645
167;35;684
168;22;342
169;25;376
170;50;847
171;21;257
172;28;415
173;28;337
174;53;535
175;47;927
176;47;614
177;25;437
178;53;1017
179;29;468
180;57;772
181;28;352
182;57;1011
183;39;410
184;34;589
185;53;901
186;26;422
187;21;373
188;60;1001
189;29;431
190;54;721
191;30;452
192;23;323
193;32;321
194;31;405
195;31;479
196;25;282
197;44;554
198;31;345
199;30;498
