QTD_ITENS;100
CAPACIDADE;423
ITEM;PESO;VALOR
0;35;362
1;25;417
2;42;512
3;40;618
4;21;231
5;36;427
6;38;540
7;39;687
8;47;654
9;49;589
10;60;1184
11;32;542
12;28;317
13;32;506
14;34;357
15;42;589
16;21;225
17;38;616
18;48;812
19;58;1054
20;32;426
21;33;597
22;36;642
23;54;804
24;32;469
25;36;701
26;41;805
27;57;868
28;58;593
29;22;227
30;26;453
31;31;326
32;47;557
33;37;479
34;28;419
35;28;385
36;36;407
37;25;370
38;51;999
39;37;531
40;40;716
41;57;716
42;28;384
43;40;595
44;53;618
45;50;870
46;37;420
47;37;732
48;22;342
49;35;540
50;52;676
51;43;497
52;23;363
53;39;464
54;30;532
55;29;532
56;36;488
57;30;309
58;35;352
59;32;398
60;28;283
61;33;431
62;27;395
63;39;663
64;25;372
65;56;651
66;56;609
67;52;637
68;50;730
69;26;482
70;51;613
71;33;613
72;28;558
73;21;246
74;29;299
75;33;605
76;29;571
77;24;447
78;44;535
79;51;623
80;41;531
81;25;286
82;34;362
83;41;628
84;52;1009
85;49;742
86;60;692
87;28;309
88;26;344
89;41;430
90;29;391
91;40;652
92;53;733
93;46;802
94;42;505
95;27;398
96;40;521
97;49;792
98;51;770
99;50;608
