QTD_ITENS;50
CAPACIDADE;479
ITEM;PESO;VALOR
0;57;964
1;41;614
2;33;523
3;39;520
4;60;768
5;33;533
6;59;646
7;54;571
8;56;828
9;59;775
10;47;867
11;58;623
12;22;372
13;38;712
14;51;1004
15;28;392
16;52;982
17;37;615
18;40;693
19;35;448
20;23;283
21;55;717
22;26;289
23;52;774
24;59;660
25;27;280
26;32;333
27;40;777
28;32;491
29;59;645
30;59;1017
31;21;287
32;50;852
33;37;377
34;20;331
35;40;729
36;60;984
37;50;957
38;55;698
39;51;544
40;48;666
41;58;1104
42;32;628
43;31;317
44;46;781
45;28;485
46;20;355
47;55;687
48;23;280
49;42;427
