QTD_ITENS;150
CAPACIDADE;565
ITEM;PESO;VALOR
0;48;699
1;48;836
2;22;304
3;41;740
4;37;487
5;41;744
6;41;637
7;38;753
8;57;651
9;31;500
10;58;1134
11;56;918
12;23;394
13;58;765
14;42;491
15;23;425
16;20;216
17;52;672
18;38;490
19;28;453
20;60;1117
21;52;925
22;41;809
23;54;707
24;33;606
25;39;441
26;42;832
27;35;361
28;29;457
29;42;438
30;53;855
31;50;750
32;60;839
33;58;616
34;50;543
35;22;349
36;26;400
37;25;404
38;52;1025
39;29;370
40;31;545
41;49;868
42;50;801
43;42;813
44;46;658
45;51;891
46;56;1059
47;33;600
48;40;724
49;49;589
50;40;433
51;31;359
52;57;1079
53;33;352
54;39;535
55;37;689
56;57;690
57;52;586
58;30;447
59;36;444
60;60;886
61;24;296
62;40;639
63;25;453
64;48;744
65;22;410
66;32;412
67;41;538
68;49;832
69;30;546
70;45;593
71;59;1162
72;42;650
73;40;571
74;33;388
75;57;715
76;55;662
77;41;510
78;21;222
79;51;615
80;56;950
81;45;619
82;45;565
83;52;636
84;59;662
85;54;820
86;33;502
87;38;548
88;30;383
89;54;1021
90;56;1065
91;34;346
92;34;630
93;32;351
94;39;529
95;38;448
96;41;804
97;33;536
98;58;826
99;28;413
100;25;462
101;35;641
102;28;374
103;49;966
104;52;795
105;42;599
106;57;905
107;33;514
108;38;572
109;31;608
110;31;394
111;59;692
112;20;390
113;22;301
114;25;447
115;29;381
116;35;529
117;58;581
118;53;753
119;32;337
120;56;907
121;60;1091
122;45;607
123;33;654
124;57;961
125;40;695
126;35;493
127;25;396
128;56;1021
129;52;619
130;41;609
131;51;786
132;34;482
133;46;841
134;42;523
135;60;633
136;49;700
137;35;664
138;60;831
139;25;338
140;46;461
141;30;367
142;48;662
143;47;804
144;47;650
145;57;737
146;22;390
147;52;653
148;27;479
149;32;510
