QTD_ITENS;100
CAPACIDADE;376
ITEM;PESO;VALOR
0;37;401
1;28;427
2;44;472
3;26;439
4;35;465
5;45;711
6;25;318
7;32;336
8;37;481
9;32;477
10;46;558
11;46;853
12;50;545
13;34;393
14;51;892
15;24;454
16;34;562
17;48;946
18;51;537
19;50;647
20;30;586
21;46;679
22;47;520
23;34;676
24;27;505
25;33;623
26;24;430
27;52;887
28;21;411
29;45;777
30;30;596
31;37;523
32;43;453
33;27;337
34;37;527
35;47;526
36;59;1143
37;48;682
38;38;535
39;42;433
40;47;858
41;36;515
42;54;1060
43;46;581
44;30;456
45;53;816
46;33;349
47;22;415
48;47;689
49;46;852
50;49;683
51;34;502
52;26;362
53;50;816
54;46;466
55;53;633
56;23;262
57;21;312
58;27;288
59;41;650
60;22;292
61;54;571
62;59;993
63;43;578
64;20;289
65;60;1137
66;45;836
67;31;385
68;33;397
69;25;460
70;25;451
71;41;488
72;58;609
73;38;668
74;59;606
75;59;927
76;36;467
77;42;420
78;51;858
79;49;854
80;26;376
81;28;444
82;21;270
83;47;623
84;47;730
85;22;320
86;22;331
87;51;865
88;54;743
89;30;421
90;29;393
91;37;674
92;49;914
93;53;712
94;24;398
95;56;734
96;38;477
97;52;725
98;21;223
99;29;430
